x,y,class,gene,nucleus
6712.38,2706.96,Other,Other,Nuclear
1248.22,2622.42,Tumour epithelial,GATA3,Nuclear
4374.14,1960,Fibroblast / stroma,Other,Cytoplasmic
4677.25,911.18,Fibroblast / stroma,LUM,Cytoplasmic
804.16,1013.7,Tumour epithelial,KRT7,Cytoplasmic
5788.03,5139.38,Fibroblast / stroma,Other,Nuclear
1037.8,3882.67,Tumour epithelial,Other,Cytoplasmic
831.3,4170.22,Adipocyte,Other,Cytoplasmic
33.2,3639.61,Tumour epithelial,GATA3,Nuclear
1891.59,3908.38,Fibroblast / stroma,POSTN,Cytoplasmic
4190.31,4634.45,Other,Other,Cytoplasmic
575.45,3113.91,Tumour epithelial,ERBB2,Nuclear
5123.64,3957.52,Myoepithelial / muscle,Other,Cytoplasmic
1138.72,2796.46,Other,Other,Nuclear
1653.19,1239.47,Tumour epithelial,Other,Nuclear
2094.03,3872.45,Immune,Other,Cytoplasmic
6474.59,1144.06,Tumour epithelial,TACSTD2,Cytoplasmic
1038.01,1024.16,Tumour epithelial,Other,Nuclear
5319.98,1190.42,Tumour epithelial,Other,Cytoplasmic
351.87,3074.32,Tumour epithelial,EPCAM,Nuclear
3260.72,3529.08,Fibroblast / stroma,POSTN,Nuclear
1546.61,4475.04,Other,Other,Nuclear
4601.96,4736.05,Tumour epithelial,ERBB2,Cytoplasmic
5456.41,4124.22,Immune,Other,Nuclear
6074.28,1072.32,Tumour epithelial,GATA3,Cytoplasmic
259.71,685.87,Endothelial / vascular,Other,Nuclear
6274.51,126.3,Fibroblast / stroma,Other,Cytoplasmic
4305.45,1587.15,Tumour epithelial,ANKRD30A,Cytoplasmic
2949.57,2126.28,Fibroblast / stroma,LUM,Cytoplasmic
1021.3,736.15,Other,SCD,Nuclear
6990.38,2660.37,Other,Other,Cytoplasmic
978.65,1762.43,Other,Other,Nuclear
2431.23,4429.88,Fibroblast / stroma,Other,Cytoplasmic
5791.27,4274.06,Fibroblast / stroma,Other,Nuclear
2590.42,930.04,Other,Other,Nuclear
529.47,2355.75,Other,Other,Nuclear
5887.98,412.6,Immune,Other,Nuclear
7481.88,3291.3,Other,CCND1,Nuclear
415.83,3335.93,Immune,Other,Cytoplasmic
1006.62,4438.45,Fibroblast / stroma,Other,Cytoplasmic
1776.56,5089.75,Other,Other,Cytoplasmic
6777.23,249.92,Immune,Other,Cytoplasmic
267.17,4776.12,Myoepithelial / muscle,Other,Cytoplasmic
7008.68,5247.47,Tumour epithelial,Other,Nuclear
1726.36,3330.44,Fibroblast / stroma,POSTN,Cytoplasmic
5741.92,3954.6,Tumour epithelial,FOXA1,Cytoplasmic
6153.06,4218.59,Other,Other,Nuclear
185.72,1177.32,Immune,Other,Nuclear
7131.99,4652.61,Other,POLR2J3,Cytoplasmic
508.49,317.91,Tumour epithelial,Other,Nuclear
7156.79,3515.62,Other,Other,Cytoplasmic
321.94,1679.54,Myoepithelial / muscle,Other,Cytoplasmic
