"gene","logFC","AveExpr","t","pvalue","padj"
"MDM2",0.1658,11.6647,1.3484,0.1775,0.2729
"CPM",-1.1244,10.2316,-3.2153,0.001303,0.004458
"CPSF6",0.322,11.4042,2.9108,0.003605,0.01068
"LYZ",-0.2592,10.8339,-0.655,0.5125,0.6219
"YEATS4",0.5484,9.041,2.6257,0.008646,0.02235
"FRS2",0.0757,11.021,0.3717,0.7101,0.7897
"CCT2",0.7596,12.1435,3.8082,0.00014,0.0006667
"RAB3IP",1.2419,9.9091,4.904,9.39e-07,8.329e-06
"AC025263.3",1.247,6.8359,5.2421,1.587e-07,1.729e-06
"MYRFL",0.8653,5.8977,2.2484,0.02455,0.05401
"CNOT2",0.3512,11.2774,2.6407,0.008275,0.02156
"KCNMB4",0.1972,7.8025,0.6516,0.5146,0.6238
"PTPRB",-1.6038,10.5354,-4.8837,1.041e-06,9.156e-06
"PTPRR",0.8769,5.9129,2.4974,0.01251,0.0306
"TSPAN8",-2.19,6.8461,-3.9969,6.419e-05,0.0003393
"LGR5",0.1898,6.5002,0.4426,0.6581,0.7478
"ZFC3H1",0.1983,10.5513,0.943,0.3457,0.4609
"THAP2",-0.0628,8.3519,-0.3375,0.7357,0.8094
"RP11-293I14.2",-0.1097,8.0846,-0.5934,0.5529,0.6586
"TMEM19",-0.1472,10.1594,-0.9647,0.3347,0.4499
"RAB21",-0.1788,11.3405,-1.2081,0.227,0.3315
"TBC1D15",-0.3618,10.8282,-2.3699,0.01779,0.04129
"TRHDE",-3.2189,6.3743,-5.6873,1.291e-08,1.855e-07
"ATXN7L3B",0.2197,12.4168,1.5159,0.1295,0.2124
"KCNC2",-1.2975,6.7909,-1.4332,0.1518,0.2412
"CAPS2",-0.4692,7.7712,-2.0503,0.04034,0.08126
"GLIPR1L2",0.2863,6.8447,0.62,0.5353,0.6425
"GLIPR1",-0.176,10.9219,-1.2177,0.2234,0.3272
"KRR1",-0.0356,11.369,-0.2301,0.818,0.8731
"PHLDA1",-0.2616,11.243,-0.7825,0.4339,0.5484
"NAP1L1",0.1762,13.3875,1.0099,0.3125,0.4263
"BBS10",-0.4172,9.4882,-2.1651,0.03038,0.06439
"OSBPL8",0.0912,11.6361,0.4012,0.6883,0.7721
"ZDHHC17",-0.4149,10.3843,-1.946,0.05165,0.1
"CSRP2",-0.4622,8.9246,-1.5958,0.1105,0.1866
"E2F7",3.2043,6.9738,9.7217,2.438e-22,4.46e-20
"NAV3",-0.7106,8.4838,-1.837,0.0662,0.1229
"SYT1",2.7345,7.9885,5.2043,1.947e-07,2.07e-06
"PAWR",0.5155,11.3256,2.0795,0.03757,0.07652
"PPP1R12A",-0.3137,11.4444,-1.7473,0.08059,0.1443
"OTOGL",-1.7828,5.8193,-4.2063,2.596e-05,0.0001537
"PTPRQ",-2.8625,6.1676,-4.3249,1.526e-05,9.68e-05
"LIN7A",-0.6228,8.6808,-1.6318,0.1027,0.176
